variable,auc_drop_permutacion,corr_con_pd,direccion_riesgo
sub_grade,0.038330245760553217,0.7939565155765155,"A mayor valor, mayor riesgo"
term,0.029504873699477963,0.5369387523204757,"A mayor valor, mayor riesgo"
annual_inc,0.020218592681740755,-0.19216388519054858,"A mayor valor, menor riesgo"
dti,0.012976700456643009,0.41572201275033566,"A mayor valor, mayor riesgo"
funded_amnt_inv,0.012202475810443203,0.2100912266150758,"A mayor valor, mayor riesgo"
int_rate,0.010438422795881919,0.7892311909125838,"A mayor valor, mayor riesgo"
open_acc,0.009724515468936823,0.05781622532402966,"A mayor valor, mayor riesgo"
funded_amnt,0.009096094684764244,0.21404245871276611,"A mayor valor, mayor riesgo"
installment,0.008718412657138797,0.15904476747988097,"A mayor valor, mayor riesgo"
total_acc,0.007423810722841595,-0.07295886411530345,"A mayor valor, menor riesgo"
revol_util,0.005907374801921383,0.31809958569701363,"A mayor valor, mayor riesgo"
loan_amnt,0.004445992475773597,0.21436242433087446,"A mayor valor, mayor riesgo"
total_rev_hi_lim,0.003431700196852794,-0.12220534959255472,"A mayor valor, menor riesgo"
tot_cur_bal,0.003365727312583333,-0.16194666132616148,"A mayor valor, menor riesgo"
inq_last_6mths,0.0033304747260374246,0.1504392390463735,"A mayor valor, mayor riesgo"
pub_rec,0.003264305921501842,0.0839394460935197,"A mayor valor, mayor riesgo"
revol_bal,0.002710883415190102,-0.009602181782395806,"A mayor valor, menor riesgo"
delinq_2yrs,0.002615966576943074,0.09332518059903798,"A mayor valor, mayor riesgo"
emp_length,0.0024800762803801613,0.08979342189430828,"A mayor valor, mayor riesgo"
grade,0.0020576460639789573,0.7762428837733655,"A mayor valor, mayor riesgo"
purpose,0.002014752587055302,0.0828003282304619,"A mayor valor, mayor riesgo"
home_ownership,0.0018481028087156126,0.1715436172366009,"A mayor valor, mayor riesgo"
mths_since_last_record,0.0011355146782288106,0.01794730387999705,"A mayor valor, mayor riesgo"
mths_since_last_major_derog,0.0007850916902927274,-0.015014816439209419,"A mayor valor, menor riesgo"
mths_since_last_delinq,0.0007700319525055788,-0.04155364777316227,"A mayor valor, menor riesgo"
initial_list_status,0.000615254942290977,0.08206194240315333,"A mayor valor, mayor riesgo"
collections_12_mths_ex_med,0.0004794168911324004,0.06737864827450979,"A mayor valor, mayor riesgo"
addr_state,0.0004174407802913782,0.019032122763352453,"A mayor valor, mayor riesgo"
all_util,0.00020115786787433532,0.017034054695171053,"A mayor valor, mayor riesgo"
il_util,0.00011427376053718685,0.02035884366848845,"A mayor valor, mayor riesgo"
open_acc_6m,0.00011048596872598182,0.0228066822127695,"A mayor valor, mayor riesgo"
acc_now_delinq,7.438439436047162e-05,0.0682653708178953,"A mayor valor, mayor riesgo"
max_bal_bc,4.263224990219694e-05,-0.025570097009447228,"A mayor valor, menor riesgo"
inq_last_12m,3.570973383337783e-05,0.016253445985856346,"A mayor valor, mayor riesgo"
open_il_6m,3.459951899220659e-05,-0.013166566197464301,"A mayor valor, menor riesgo"
open_rv_12m,2.7964352647180668e-05,0.022806682212769498,"A mayor valor, mayor riesgo"
open_il_24m,1.7502210437614352e-06,-0.013166566197464327,"A mayor valor, menor riesgo"
dti_joint,0.0,2.511944008602242e-16,"A mayor valor, mayor riesgo"
annual_inc_joint,0.0,0.0,Sin relacion lineal clara
application_type,0.0,0.0,Sin relacion lineal clara
pymnt_plan,0.0,0.0,Sin relacion lineal clara
inq_fi,-1.1363375433504075e-05,0.007601551605654884,"A mayor valor, mayor riesgo"
total_bal_il,-1.1846645423196911e-05,-0.006233175133729385,"A mayor valor, menor riesgo"
open_rv_24m,-2.7468021306487067e-05,0.02556459906212493,"A mayor valor, mayor riesgo"
tot_coll_amt,-6.372633188500565e-05,0.00425450297962421,"A mayor valor, mayor riesgo"
mths_since_rcnt_il,-7.588644973388625e-05,-0.012569201306005022,"A mayor valor, menor riesgo"
total_cu_tl,-9.108986238282046e-05,-0.019375808042938935,"A mayor valor, menor riesgo"
open_il_12m,-9.730706549360146e-05,-0.018620957236641096,"A mayor valor, menor riesgo"
