score_decile,n_clientes,score_min,score_max,score_promedio,pd_promedio,bad_rate_real
9,25587,580.6165601923185,1380.4819687680215,620.162551757848,0.04344601,0.041583616680345485
8,26887,539.8943189401067,580.4404671561,558.317586074711,0.08256297,0.0804849927474244
7,19150,523.8009305968963,539.8685387407423,531.2708020456178,0.11492037,0.10631853785900783
6,33844,508.7679786797735,523.7769046205708,519.4264834508616,0.1327661,0.1321652286963716
5,23202,489.2820433673782,508.7572641606247,496.9649030094068,0.17304915,0.16709766399448323
4,28170,466.14490777803303,486.2356372804524,484.2266175462337,0.19935977,0.20184593539226128
3,29560,458.0366309187201,466.0001671790669,465.06668521833365,0.24505924,0.2527063599458728
2,25203,437.1830207736035,454.77401684226214,448.1363385229754,0.29137045,0.3027020592786573
1,27214,409.01294189374636,427.97688406337534,423.06017799064625,0.36770457,0.36756816344528553
0,29713,290.1801534188818,408.10755427676105,387.74408620616595,0.4864625,0.485208494598324
